address,name,area,floor
530,대우2차,84.48,8
530,대우2차,84.48,3
530,대우2차,84.48,11
525-1,대우그린,59.946,17
525-1,대우그린,84.95,8
525-1,대우그린,59.946,21
525-1,대우그린,59.946,11
525-1,대우그린,59.946,2
525-1,대우그린,33.6,23
525-1,대우그린,84.95,11
525-1,대우그린,69.966,8
525-1,대우그린,69.966,5
525-1,대우그린,69.966,24
525-1,대우그린,59.946,20
525-1,대우그린,84.95,17
525-1,대우그린,59.946,3
525-1,대우그린,69.966,4
525-1,대우그린,59.946,13
525-1,대우그린,84.95,19
525-1,대우그린,69.966,15
525-1,대우그린,84.95,6
525-1,대우그린,84.95,4
525-1,대우그린,69.966,19
525-1,대우그린,69.966,9
525-1,대우그린,69.966,17
525-1,대우그린,59.946,24
525-1,대우그린,59.946,12
525-1,대우그린,33.6,9
525-1,대우그린,59.946,14
525-1,대우그린,84.95,13
525-1,대우그린,33.6,20
525-1,대우그린,59.946,19
525-1,대우그린,84.95,7
525-1,대우그린,59.946,8
525-1,대우그린,59.946,1
525-1,대우그린,59.946,16
525-1,대우그린,33.6,19
525-1,대우그린,59.946,22
525-1,대우그린,33.6,7
525-1,대우그린,33.6,4
525-1,대우그린,59.946,6
525-1,대우그린,84.95,22
525-1,대우그린,69.966,6
525-1,대우그린,84.95,2
525-1,대우그린,33.6,21
525-1,대우그린,69.966,13
525-1,대우그린,59.946,15
525-1,대우그린,59.946,23
525-1,대우그린,84.95,18
525-1,대우그린,33.6,14
525-1,대우그린,69.966,10
525-1,대우그린,33.6,13
525-1,대우그린,69.966,3
525-1,대우그린,69.966,23
525-1,대우그린,69.966,12
525-1,대우그린,59.946,9
525-1,대우그린,59.946,10
525-1,대우그린,69.966,18
525-1,대우그린,33.6,16
525-1,대우그린,84.95,23
525-1,대우그린,59.946,4
525-1,대우그린,33.6,11
525-1,대우그린,69.966,11
525-1,대우그린,84.95,5
525-1,대우그린,33.6,15
525-1,대우그린,69.966,21
525-1,대우그린,33.6,3
525-1,대우그린,84.95,9
525-1,대우그린,69.966,22
525-1,대우그린,33.6,12
525-1,대우그린,84.95,25
525-1,대우그린,59.946,18
525-1,대우그린,84.95,16
525-1,대우그린,69.966,2
1896,대주파크빌(101동),84.5821,5
1896,대주파크빌(101동),84.5821,7
1896,대주파크빌(101동),84.5821,4
1896,대주파크빌(101동),84.5821,3
1898,대주파크빌(102동),84.5821,7
1898,대주파크빌(102동),84.5821,2
1898,대주파크빌(102동),84.5821,9
1898,대주파크빌(102동),84.5821,5
1332,더리치빌2,33.38,5
1332,더리치빌2,24.02,8
1332,더리치빌2,20.32,4
1332,더리치빌2,33.38,4
1332,더리치빌2,38.672,3
1332,더리치빌2,24.02,4
1332,더리치빌2,20.66,7
1332,더리치빌2,38.672,10
1332,더리치빌2,24.02,5
1332,더리치빌2,20.66,3
1332,더리치빌2,33.38,8
1332,더리치빌2,24.02,9
1332,더리치빌2,20.66,8
1332,더리치빌2,24.02,10
1332,더리치빌2,20.66,10
1332,더리치빌2,20.32,7
1332,더리치빌2,38.672,8
1332,더리치빌2,20.66,4
1332,더리치빌2,20.66,6
1332,더리치빌2,38.672,5
1332,더리치빌2,38.672,6
1332,더리치빌2,33.38,10
1332,더리치빌2,33.38,7
1332,더리치빌2,33.38,6
1332,더리치빌2,33.38,9
1332,더리치빌2,24.02,6
1332,더리치빌2,20.32,8
1332,더리치빌2,20.66,5
1332,더리치빌2,20.32,3
1332,더리치빌2,24.02,7
1332,더리치빌2,38.672,4
1332,더리치빌2,24.02,3
1332,더리치빌2,20.32,9
1332,더리치빌2,20.32,6
1332,더리치빌2,20.32,10
1308,더쉼,23.4925,7
1308,더쉼,19.0375,5
1308,더쉼,38.2663,2
1308,더쉼,19.3275,8
1308,더쉼,23.4925,9
1308,더쉼,22.1875,6
1593,두정3푸르지오,84.9,3
1593,두정3푸르지오,84.9,14
1593,두정3푸르지오,73.005,14
1593,두정3푸르지오,84.9,13
1593,두정3푸르지오,84.9,12
1593,두정3푸르지오,84.9,5
1593,두정3푸르지오,84.9,4
1593,두정3푸르지오,73.005,11
1593,두정3푸르지오,84.9,15
1593,두정3푸르지오,84.9,9
1593,두정3푸르지오,84.9,11
1593,두정3푸르지오,84.9,8
1593,두정3푸르지오,84.9,2
1593,두정3푸르지오,84.9,10
1593,두정3푸르지오,73.005,4
666,두정4차푸르지오,84.9,1
666,두정4차푸르지오,84.9,14
666,두정4차푸르지오,75.19,5
666,두정4차푸르지오,75.19,13
666,두정4차푸르지오,75.19,12
666,두정4차푸르지오,75.19,3
666,두정4차푸르지오,75.19,11
666,두정4차푸르지오,75.19,4
666,두정4차푸르지오,75.19,14
666,두정4차푸르지오,75.19,8
666,두정4차푸르지오,84.9,7
666,두정4차푸르지오,84.9,6
666,두정4차푸르지오,84.9,11
666,두정4차푸르지오,84.9,2
666,두정4차푸르지오,75.19,1
666,두정4차푸르지오,84.9,4
666,두정4차푸르지오,101.83,13
666,두정4차푸르지오,84.9,13
666,두정4차푸르지오,75.19,7
2010,두정5차푸르지오,84.742,2
2010,두정5차푸르지오,84.742,3
2010,두정5차푸르지오,101.945,9
2010,두정5차푸르지오,84.742,15
2010,두정5차푸르지오,84.742,13
2010,두정5차푸르지오,101.945,1
2010,두정5차푸르지오,84.742,4
2010,두정5차푸르지오,84.742,9
2010,두정5차푸르지오,84.742,8
2010,두정5차푸르지오,101.945,2
1458,두정동휴스빌,30.21,6
1458,두정동휴스빌,21.78,5
1458,두정동휴스빌,20.86,4
1486,두정미소마을,17,4
1486,두정미소마을,17,6
1486,두정미소마을,17,2
1486,두정미소마을,18.32,5
1486,두정미소마을,18.32,7
1486,두정미소마을,18.32,6
1486,두정미소마을,18.32,2
1486,두정미소마을,17,3
1486,두정미소마을,18.32,3
1486,두정미소마을,18.32,4
1486,두정미소마을,17,7
