읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,1359,1359,0000,벨라지오,월세,21.86,1,14,           300,            35,12,2014,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,71.66,1,15,"        49,000",0,19,2020,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,84.966,1,15,"        32,000",             0,10,2011,,중개거래
두정동,606,0606,0000,부경파크빌,매매,84.9605,1,15,"        25,500",0,5,2003,,직거래
두정동,1078,1078,0000,계룡리슈빌,매매,73.9463,1,15,"        24,500",0,10,2004,,중개거래
두정동,666,0666,0000,두정4차푸르지오,매매,84.9,1,15,"        22,800",0,1,2003,,직거래
두정동,525-1,0525,0001,대우그린,전세,84.95,1,15,"        22,000",             0,11,1996,,중개거래
두정동,525-1,0525,0001,대우그린,전세,84.95,1,15,"        22,000",             0,11,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,84.9,1,15,"        19,950",             0,2,1996,,중개거래
두정동,605,0605,0000,세광엔리치빌3,전세,84.9932,1,15,"        19,635",             0,3,2003,,중개거래
두정동,1864,1864,0000,우성,매매,59.695,1,15,"        19,200",0,12,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),매매,59.97,1,15,"        19,000",0,4,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,매매,59.91,1,15,"        18,000",0,20,1996,210,중개거래
두정동,526-1,0526,0001,극동늘푸른,매매,59.91,1,15,"        18,000",0,20,1996,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,84.9,1,15,"        16,800",             0,16,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,15,"        16,000",             0,19,1996,,중개거래
두정동,525-1,0525,0001,대우그린,전세,69.966,1,15,"        15,750",             0,8,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,15,"        14,175",             0,5,1996,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,월세,84.93,1,15,"        10,000",           120,25,2020,,중개거래
두정동,1320,1320,0000,프라지움2,매매,20.2406,1,15,"         4,250",0,5,2013,,중개거래
두정동,1320,1320,0000,프라지움2,매매,20.6833,1,15,"         4,250",0,4,2013,,중개거래
두정동,1320,1320,0000,프라지움2,매매,20.142,1,15,"         4,250",0,12,2013,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,매매,20.255,1,15,"         3,800",0,7,2013,,직거래
두정동,2037,2037,0000,두정역푸르지오,월세,84.9872,1,15,"         3,000",           100,9,2009,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,20.57,1,15,"         1,000",            25,11,2013,,중개거래
두정동,1486,1486,0000,두정미소마을,월세,17,1,15,           500,            35,4,2012,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,20.57,1,15,           300,            32,9,2013,,직거래
두정동,1320,1320,0000,프라지움2,월세,20.142,1,15,           300,            35,5,2013,,중개거래
두정동,1320,1320,0000,프라지움2,월세,20.142,1,15,           300,            35,5,2013,,중개거래
두정동,606,0606,0000,부경파크빌,매매,84.96055,1,16,"        25,500",0,13,2003,,중개거래
두정동,606,0606,0000,부경파크빌,전세,84.9605,1,16,"        25,000",             0,4,2003,,중개거래
두정동,1896,1896,0000,대주파크빌(101동),매매,84.5821,1,16,"        23,000",0,5,2005,,중개거래
두정동,527,0527,0000,주공그린(8단지),매매,49.96,1,16,"        16,700",0,4,1996,,직거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,16,"         1,000",            65,9,1996,,중개거래
두정동,2037,2037,0000,두정역푸르지오,전세,84.9872,1,17,"        30,000",             0,15,2009,,중개거래
두정동,401-1,0401,0001,e편한세상두정4차,전세,62.6313,1,17,"        21,000",             0,10,2018,,중개거래
두정동,1000,1000,0000,한성스위트빌,매매,71.0431,1,17,"        19,780",0,10,2002,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,17,"        12,075",             0,11,1996,,직거래
두정동,527,0527,0000,주공그린(8단지),전세,39.99,1,17,"        11,000",             0,10,1996,,중개거래
두정동,1320,1320,0000,프라지움2,매매,20.142,1,17,"         4,300",0,5,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,월세,84.8801,1,17,"         4,000",           100,10,2013,,중개거래
두정동,1459,1459,0000,코스모빌1,월세,29.6,1,17,"         1,500",            39,7,2014,,직거래
두정동,527,0527,0000,주공그린(8단지),월세,59.97,1,17,"         1,000",            65,4,1996,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,20.005,1,17,           200,            30,10,2013,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,매매,84.8801,1,18,"        41,000",0,16,2013,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,18,"        33,000",             0,27,2020,,중개거래
두정동,2035,2035,0000,한성필하우스3차,매매,59.9045,1,18,"        21,000",0,15,2004,,중개거래
두정동,1000,1000,0000,한성스위트빌,전세,71.0431,1,18,"        17,500",             0,5,2002,,중개거래
두정동,1332,1332,0000,더리치빌2,전세,24.02,1,18,"         5,800",             0,8,2013,,중개거래
두정동,1332,1332,0000,더리치빌2,전세,20.32,1,18,"         4,700",             0,4,2013,,중개거래
두정동,1373,1373,0000,에프엠22,전세,21.934,1,18,"         4,200",             0,5,2015,,중개거래
두정동,1327,1327,0000,하이스타운,월세,20.1845,1,18,"         1,500",            23,6,2013,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,20.255,1,18,           200,            35,5,2013,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,71.66,1,19,"        50,000",0,25,2020,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.8801,1,19,"        31,000",             0,14,2013,,중개거래
두정동,2035,2035,0000,한성필하우스3차,전세,59.9045,1,19,"        21,000",             0,1,2004,,중개거래
두정동,606,0606,0000,부경파크빌,전세,84.9605,1,19,"        19,950",             0,7,2003,,중개거래
