dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,24,1000,68,2,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,72,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,2,26,1000,68,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,3,12,1000,55,16,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,4,18,2000,80,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,4,25,1000,60,17,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,5,11,1000,57,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,5,13,1000,75,3,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,5,25,1000,80,4,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,5,8,1000,80,15,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,6,27,1000,75,16,1996,직거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,6,8,1000,60,10,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,6,8,500,70,21,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,7,23,1000,65,16,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,7,28,15500,20,14,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,7,7,1000,75,12,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,7,9,1000,75,8,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,8,1,4000,75,18,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,8,17,2000,80,3,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,8,22,1000,64,10,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,8,24,2000,60,12,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,8,27,13000,20,1,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,84.9,9,14,2000,75,3,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,9,16,1000,69,12,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,9,16,1000,69,12,1996,직거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,10,19,2000,60,11,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,10,19,1000,75,13,1996,중개거래,
두정동,526-1,526,1,극동늘푸른,월세,59.91,10,6,1000,75,17,1996,중개거래,
두정동,530,530,0,대우2차,월세,84.48,9,26,1000,90,8,1998,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,1,13,1000,75,11,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,1,27,1000,75,20,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,1,7,1000,70,3,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,59.946,1,7,1000,70,3,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,84.95,2,10,2000,75,6,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,84.95,2,10,2000,75,6,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,69.966,2,15,2000,80,17,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,2,19,500,50,9,1996,중개거래,두정역
두정동,525-1,525,1,대우그린,월세,33.6,2,19,500,50,9,1996,중개거래,두정역
