dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,cancellation,property,station_area
두정동,2063,2063,0,e편한세상두정3차,매매,59.9941,8,5,32500,0,7,2017,810,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,매매,59.9941,8,5,32500,0,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,매매,59.9941,8,9,32000,0,5,2017,,직거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,75.7971,9,13,2000,110,17,2017,,직거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9888,9,16,29000,0,18,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,9,16,1500,95,16,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9959,9,17,5000,100,7,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9959,9,3,28000,0,9,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,84.9888,10,1,2000,110,1,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,59.9941,10,11,23000,0,9,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,월세,59.9941,10,19,1000,74,9,2017,,중개거래,두정역
두정동,2063,2063,0,e편한세상두정3차,전세,84.9959,10,23,26000,0,18,2017,,중개거래,두정역
두정동,401-1,401,1,e편한세상두정4차,전세,62.6313,1,17,21000,0,10,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,1,29,2000,60,2,2018,,직거래,
두정동,401-1,401,1,e편한세상두정4차,매매,72.8151,1,8,30000,0,2,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,72.8151,2,12,20000,0,9,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,2,14,31500,0,21,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,2,15,6000,60,6,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,72.8151,2,21,32946,0,5,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,2,21,31000,0,18,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,2,21,29262,0,12,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,2,23,32300,0,13,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,2,25,32900,0,20,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,2,28,31000,0,16,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6689,2,28,21000,0,4,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,72.8151,2,7,28000,0,15,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,3,18,29800,0,4,2018,,직거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6689,3,19,20000,0,2,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,72.8151,3,5,24000,0,21,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,72.8151,4,13,36800,0,5,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,4,13,32800,0,15,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,4,15,29000,0,3,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,4,24,2000,80,4,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,4,29,15000,20,2,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,5,4,2000,80,3,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,6,13,29000,0,2,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,6,16,27000,0,2,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,6,18,2000,100,12,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6313,6,7,27000,0,4,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6689,7,1,14000,0,15,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,72.8151,7,28,3000,90,18,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6313,7,5,14000,0,12,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,72.8151,7,7,24000,0,18,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6689,7,8,25000,0,5,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,8,11,2000,80,22,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6313,8,23,20000,0,10,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6689,8,3,2000,85,14,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,매매,62.6689,8,6,29800,0,3,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,전세,72.8151,9,12,22000,0,17,2018,,중개거래,
두정동,401-1,401,1,e편한세상두정4차,월세,62.6313,10,14,2000,85,11,2018,,직거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6313,10,18,18000,0,13,2018,,직거래,
두정동,401-1,401,1,e편한세상두정4차,전세,62.6313,10,4,20000,0,14,2018,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,1,12,3000,90,9,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),전세,59.5862,1,25,18000,0,5,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,2,14,20500,0,14,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),전세,59.5862,2,14,14700,0,12,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,2,18,20300,0,13,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,2,25,300,15,5,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,2,5,20500,0,2,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,2,8,20000,0,13,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,3,11,20400,0,11,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,3,13,15000,30,9,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,3,19,24200,0,9,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,3,25,1000,80,9,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,3,26,20500,0,3,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,3,3,24200,0,11,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,3,30,7000,40,10,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,4,23,24000,0,14,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,4,23,20500,0,13,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,4,29,1000,70,11,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,4,3,2000,70,11,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),전세,59.5862,5,13,15225,0,5,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,5,14,24500,0,8,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,5,14,1000,80,13,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,5,25,20500,0,10,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,6,18,26000,0,6,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,6,24,2000,75,7,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,7,21,24000,0,9,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,7,9,2000,65,8,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,7,9,2000,65,8,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,8,15,5000,70,8,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),전세,59.5862,8,16,16275,0,8,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,59.5862,8,26,20000,0,1,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,84.7733,9,15,3000,70,3,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,10,14,23800,0,12,2004,,중개거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),월세,59.5862,10,28,1000,72,5,2004,,직거래,
두정동,1080,1080,0,경남아너스빌(대아아이투빌-1),매매,84.7733,10,5,25500,0,9,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,73.9463,1,15,24500,0,10,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,84.8985,1,20,20000,0,5,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,73.9463,1,22,24500,0,11,2004,,직거래,
두정동,1078,1078,0,계룡리슈빌,매매,84.8985,3,12,28500,0,3,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,84.8985,3,19,21000,0,9,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,84.8985,3,20,20000,0,5,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,73.9463,3,28,24500,0,11,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,73.9463,4,28,15000,0,9,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,73.9463,5,1,24900,0,5,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,84.8985,5,21,27600,0,8,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,84.8985,8,18,19400,0,8,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,84.8985,8,31,28200,0,9,2004,928,중개거래,
두정동,1078,1078,0,계룡리슈빌,전세,73.9463,8,4,17325,0,4,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,73.9463,9,17,23500,0,5,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,월세,84.8985,9,23,5000,90,4,2004,,중개거래,
두정동,1078,1078,0,계룡리슈빌,매매,84.8985,10,31,28200,0,9,2004,,중개거래,
두정동,526-1,526,1,극동늘푸른,매매,84.9,1,10,23500,0,9,1996,,중개거래,
