id,dong,address,par_add,sub_add,name,year,station_area
118,불당동,780,780,0,호반리젠시빌스위트,2004,
119,성거읍 문덕리,231-6,231,6,하늘빛,2003,
120,성거읍 송남리,585,585,0,북천안자이에뜨,2016,
121,성거읍 송남리,14,14,0,송죽,1991,
122,성거읍 신월리,3,3,3,성거벽산,1998,
123,성거읍 신월리,467,467,0,직산역꿈에그린,2019,직산역
124,성거읍 신월리,2,2,26,천안삼환나우빌,2005,
125,성거읍 오목리,58,58,0,금정샛별,2000,
126,성거읍 요방리,268-1,268,1,늘푸른동해,1999,
127,성거읍 요방리,160-22,160,22,육영원룸,1996,
128,성거읍 저리,65,65,2,쁘띠노블레스,2016,
129,성거읍 저리,53,53,2,삼일원앙,1998,
130,성거읍 저리,319-31,319,31,스윗트리,2005,
131,성거읍 저리,26,26,7,아느칸빌,2004,
132,성거읍 저리,252,252,0,저리보금자리,2000,
133,성거읍 저리,1,1,3,청호포도마을,1997,
134,성거읍 천흥리,425-1,425,1,성거백승,1995,
135,성거읍 천흥리,429,429,0,장미근로복지,1998,
136,성거읍 천흥리,533-5,533,5,진성,1993,
137,성성동,697,697,0,천안레이크타운2차푸르지오,2018,
138,성성동,969,969,0,천안레이크타운3차푸르지오,2020,
139,성성동,696,696,0,천안레이크타운푸르지오,2017,
140,성성동,827,827,0,천안시티자이,2018,
141,성정동,1530,1530,0,(1530-0),2022,
142,성정동,628-11,628,11,건일(628-11),1993,
143,성정동,892,892,0,건일(892),1995,
144,성정동,696-1,696,1,경성훼미리,1989,
145,성정동,1312,1312,0,경은하우스,2012,
146,성정동,1289,1289,0,골든브릿지,2015,
147,성정동,643,643,0,대우목화1,1986,
148,성정동,643,643,0,대우목화2,1989,
149,성정동,643,643,0,대우목화3,1989,
150,성정동,658-1,658,1,대우성정프라자,1991,
151,성정동,698-1,698,1,대우성촌프라자,1993,
152,성정동,1308,1308,0,더리치빌,2012,
153,성정동,1439,1439,0,라임스톤,2014,
154,성정동,1475,1475,0,리슈빌디에스,2016,
155,성정동,1324,1324,0,모아엘가워너비,2017,
156,성정동,1312-2,1312,2,미소진하우스,2012,
157,성정동,1516,1516,0,블루힐화이트힐,2012,
158,성정동,690-2,690,2,삼풍빌라,1992,
159,성정동,1513,1513,0,서올하우스,2012,
160,성정동,823,823,0,선경,1994,
161,성정동,696-4,696,4,성정활림2목련,1994,
162,성정동,1453,1453,0,스위스캐슬,2012,
163,성정동,1292,1292,0,에프엠21,2014,
164,성정동,1319,1319,0,에프엠25,2016,
165,성정동,1357,1357,0,엔젤팰리스,2012,
166,성정동,948,948,0,영웅파크빌,2006,
167,성정동,1312-1,1312,1,우리하우스,2012,
168,성정동,313-23,313,23,우영,1990,
169,성정동,717,717,0,주공5-1,1988,
170,성정동,717,717,0,주공5-2,1988,
171,성정동,785,785,0,주공6-1,1989,
172,성정동,789,789,0,주공6-3,1991,
173,성정동,787,787,0,주공6단지,1990,
174,성정동,1562,1562,0,천안역우방아이유쉘,2018,
175,성정동,1347,1347,0,평화로운나날,2013,
176,성정동,1433,1433,0,프라지움10차아파트,2018,
177,성정동,1435,1435,0,프라지움11차아파트,2019,
178,성정동,1322,1322,0,프라지움3차,2014,
179,성정동,1317,1317,0,프라지움5차,2015,
180,성정동,1270,1270,0,프라지움6차,2016,
181,성정동,1345,1345,0,프라지움7차,2016,
182,성정동,1323,1323,0,프라지움8차,2016,
183,성정동,1335,1335,0,하이스타운3차,2014,
184,성정동,1523,1523,0,학산리젠다빌-2차-A동,2013,
185,성정동,1522,1522,0,학산리젠다빌-2차-B동,2013,
186,성정동,1438,1438,0,학산리젠다빌3차,2016,
187,성정동,122-2,122,2,한도,1992,천안역
188,성정동,1414,1414,0,해피드림,2013,
189,성정동,1474,1474,0,해피드림2차,2014,
190,성정동,413-13,413,13,현대1,1990,
191,성정동,413-13,413,13,현대2,1990,
192,성정동,659-1,659,1,화승,1990,
193,성정동,141-3,141,3,활림1차,1993,
194,성환읍 매주리,370-21,370,21,개나리,1991,
