address,name,deal,area,month,day,acount,floor,property,
526-1,극동늘푸른,전세,59.91,4,26,18000,11,중개거래,
526-1,극동늘푸른,전세,59.91,4,29,19500,4,중개거래,
526-1,극동늘푸른,전세,59.91,4,8,18000,10,중개거래,
526-1,극동늘푸른,전세,84.9,5,13,20000,14,중개거래,
526-1,극동늘푸른,전세,84.9,5,14,15750,21,중개거래,
526-1,극동늘푸른,전세,84.9,5,16,17000,19,중개거래,
526-1,극동늘푸른,전세,59.91,5,21,18000,6,중개거래,
526-1,극동늘푸른,전세,59.91,5,21,17500,4,직거래,
526-1,극동늘푸른,전세,84.9,5,24,20350,8,중개거래,
526-1,극동늘푸른,전세,59.91,5,25,13650,18,중개거래,
526-1,극동늘푸른,전세,84.9,5,26,15000,1,중개거래,
526-1,극동늘푸른,전세,59.91,5,28,19000,8,중개거래,
526-1,극동늘푸른,전세,59.91,5,28,18000,8,중개거래,
526-1,극동늘푸른,전세,59.91,5,29,18000,11,중개거래,
526-1,극동늘푸른,전세,84.9,5,3,23000,6,중개거래,
526-1,극동늘푸른,전세,59.91,5,3,15225,20,중개거래,
526-1,극동늘푸른,전세,59.91,5,30,18000,5,직거래,
526-1,극동늘푸른,전세,59.91,5,31,13000,13,직거래,
526-1,극동늘푸른,전세,84.9,5,9,16800,10,중개거래,
526-1,극동늘푸른,전세,59.91,5,9,15225,11,중개거래,
526-1,극동늘푸른,전세,84.9,6,10,17000,3,중개거래,
526-1,극동늘푸른,전세,59.91,6,11,13600,21,중개거래,
526-1,극동늘푸른,전세,59.91,6,13,19250,1,중개거래,
526-1,극동늘푸른,전세,59.91,6,16,17500,12,중개거래,
526-1,극동늘푸른,전세,84.9,6,17,20500,14,직거래,
526-1,극동늘푸른,전세,59.91,6,17,17500,7,중개거래,
526-1,극동늘푸른,전세,59.91,6,18,18000,4,중개거래,
526-1,극동늘푸른,전세,59.91,6,20,18500,4,중개거래,
526-1,극동늘푸른,전세,59.91,6,21,13000,15,중개거래,
526-1,극동늘푸른,전세,84.9,6,26,22000,18,중개거래,
526-1,극동늘푸른,전세,59.91,6,29,14700,21,중개거래,
526-1,극동늘푸른,전세,59.91,7,1,16800,10,중개거래,
526-1,극동늘푸른,전세,59.91,7,1,15225,21,중개거래,
526-1,극동늘푸른,전세,59.91,7,11,18800,22,중개거래,
526-1,극동늘푸른,전세,84.9,7,12,22000,8,중개거래,
526-1,극동늘푸른,전세,84.9,7,12,15750,11,중개거래,
526-1,극동늘푸른,전세,59.91,7,13,18000,11,중개거래,
526-1,극동늘푸른,전세,84.9,7,14,17325,13,중개거래,
526-1,극동늘푸른,전세,84.9,7,14,17325,13,중개거래,
526-1,극동늘푸른,전세,59.91,7,16,16500,8,중개거래,
526-1,극동늘푸른,전세,59.91,7,16,16500,8,직거래,
526-1,극동늘푸른,전세,59.91,7,16,15000,18,중개거래,
526-1,극동늘푸른,전세,84.9,7,18,20000,9,중개거래,
526-1,극동늘푸른,전세,59.91,7,21,15200,12,중개거래,
526-1,극동늘푸른,전세,59.91,7,22,15225,17,중개거래,
526-1,극동늘푸른,전세,59.91,7,23,14000,19,중개거래,
526-1,극동늘푸른,전세,84.9,7,25,17325,13,직거래,
526-1,극동늘푸른,전세,59.91,7,30,16275,14,직거래,
526-1,극동늘푸른,전세,59.91,7,31,16800,16,중개거래,
